2023-11-14 00:14:27.810 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@236c227, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@478cf5ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@35adcb5e, org.springframework.security.web.header.HeaderWriterFilter@715f4372, org.springframework.security.web.authentication.logout.LogoutFilter@3b5f6ee3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1fbb5882, org.springframework.security.web.session.ConcurrentSessionFilter@55c046f1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c40d6da, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7368de32, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25ba07b4, org.springframework.security.web.session.SessionManagementFilter@690e3c35, org.springframework.security.web.access.ExceptionTranslationFilter@2a92c1f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2015ea2c]
2023-11-14 00:14:28.179 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 00:14:28.195 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 00:14:28.211 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 00:14:28.221 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.406 seconds (JVM running for 3.134)
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-14 00:14:28.510 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 00:14:28.590 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 00:15:18.823 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 00:15:18.828 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 00:15:29.185 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 30548 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 00:15:29.187 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 00:15:29.391 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 00:15:29.393 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 00:15:30.354 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 00:15:30.362 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 00:15:30.363 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 00:15:30.364 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 00:15:30.434 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 00:15:30.434 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1041 ms
2023-11-14 00:15:30.964 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@15e60292, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@248d22ea, org.springframework.security.web.context.SecurityContextPersistenceFilter@23318595, org.springframework.security.web.header.HeaderWriterFilter@47f7865, org.springframework.security.web.authentication.logout.LogoutFilter@6ab60781, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d9b882c, org.springframework.security.web.session.ConcurrentSessionFilter@193bd172, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a31dbcf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f49cb87, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a330953, org.springframework.security.web.session.SessionManagementFilter@3c87ab0d, org.springframework.security.web.access.ExceptionTranslationFilter@20dd5e3f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7c71454c]
2023-11-14 00:15:31.310 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
